#	Label	Interval	Total	Recorded
	Start	---	---	Thu, Jul 6, 2017 at 13:53:08.900
71	Split	00:00:00.217	00:00:41.608	Thu, Jul 6, 2017 at 13:53:50.508
72	Split	00:00:00.911	00:00:42.519	Thu, Jul 6, 2017 at 13:53:51.420
73	Split	00:00:00.153	00:00:42.672	Thu, Jul 6, 2017 at 13:53:51.572
74	Split	00:00:00.146	00:00:42.818	Thu, Jul 6, 2017 at 13:53:51.718
75	Split	00:00:00.479	00:00:43.297	Thu, Jul 6, 2017 at 13:53:52.197
76	Split	00:00:00.232	00:00:43.529	Thu, Jul 6, 2017 at 13:53:52.429
77	Split	00:00:00.208	00:00:43.737	Thu, Jul 6, 2017 at 13:53:52.637
78	Split	00:00:00.144	00:00:43.881	Thu, Jul 6, 2017 at 13:53:52.781
79	Split	00:00:00.367	00:00:44.248	Thu, Jul 6, 2017 at 13:53:53.148
80	Split	00:00:00.256	00:00:44.504	Thu, Jul 6, 2017 at 13:53:53.404
81	Split	00:00:00.217	00:00:44.721	Thu, Jul 6, 2017 at 13:53:53.621
82	Split	00:00:00.248	00:00:44.969	Thu, Jul 6, 2017 at 13:53:53.869
83	Split	00:00:00.463	00:00:45.432	Thu, Jul 6, 2017 at 13:53:54.332
84	Split	00:00:01.425	00:00:46.857	Thu, Jul 6, 2017 at 13:53:55.757
85	Split	00:00:00.231	00:00:47.088	Thu, Jul 6, 2017 at 13:53:55.989
86	Split	00:00:00.249	00:00:47.337	Thu, Jul 6, 2017 at 13:53:56.237
87	Split	00:00:00.455	00:00:47.792	Thu, Jul 6, 2017 at 13:53:56.692
88	Split	00:00:00.504	00:00:48.296	Thu, Jul 6, 2017 at 13:53:57.196
89	Split	00:00:00.488	00:00:48.784	Thu, Jul 6, 2017 at 13:53:57.684
90	Split	00:00:00.488	00:00:49.272	Thu, Jul 6, 2017 at 13:53:58.172
91	Split	00:00:01.679	00:00:50.951	Thu, Jul 6, 2017 at 13:53:59.851
92	Split	00:00:00.209	00:00:51.160	Thu, Jul 6, 2017 at 13:54:00.060
93	Split	00:00:01.727	00:00:52.887	Thu, Jul 6, 2017 at 13:54:01.787
94	Split	00:00:00.248	00:00:53.135	Thu, Jul 6, 2017 at 13:54:02.035
95	Split	00:00:00.168	00:00:53.303	Thu, Jul 6, 2017 at 13:54:02.203
96	Split	00:00:00.152	00:00:53.455	Thu, Jul 6, 2017 at 13:54:02.356
97	Split	00:00:00.424	00:00:53.879	Thu, Jul 6, 2017 at 13:54:02.779
98	Split	00:00:00.216	00:00:54.095	Thu, Jul 6, 2017 at 13:54:02.995
99	Split	00:00:00.344	00:00:54.439	Thu, Jul 6, 2017 at 13:54:03.339
100	Split	00:00:00.153	00:00:54.592	Thu, Jul 6, 2017 at 13:54:03.492
101	Split	00:00:00.135	00:00:54.727	Thu, Jul 6, 2017 at 13:54:03.627
102	Split	00:00:00.328	00:00:55.055	Thu, Jul 6, 2017 at 13:54:03.955
103	Pause	00:00:54.912	00:01:49.967	Thu, Jul 6, 2017 at 13:54:58.867
