#	Label	Interval	Total	Recorded
	Start	---	---	Thu, Jul 6, 2017 at 13:56:58.344
71	Split	00:00:00.337	00:01:25.607	Thu, Jul 6, 2017 at 13:58:23.951
72	Split	00:00:00.168	00:01:25.775	Thu, Jul 6, 2017 at 13:58:24.119
73	Split	00:00:01.832	00:01:27.607	Thu, Jul 6, 2017 at 13:58:25.951
74	Split	00:00:00.495	00:01:28.102	Thu, Jul 6, 2017 at 13:58:26.446
75	Split	00:00:00.496	00:01:28.598	Thu, Jul 6, 2017 at 13:58:26.942
76	Split	00:00:00.488	00:01:29.086	Thu, Jul 6, 2017 at 13:58:27.430
77	Split	00:00:00.160	00:01:29.246	Thu, Jul 6, 2017 at 13:58:27.590
78	Split	00:00:00.361	00:01:29.607	Thu, Jul 6, 2017 at 13:58:27.951
79	Split	00:00:01.167	00:01:30.774	Thu, Jul 6, 2017 at 13:58:29.118
80	Split	00:00:00.241	00:01:31.015	Thu, Jul 6, 2017 at 13:58:29.359
81	Split	00:00:00.231	00:01:31.246	Thu, Jul 6, 2017 at 13:58:29.590
82	Split	00:00:00.304	00:01:31.550	Thu, Jul 6, 2017 at 13:58:29.894
83	Split	00:00:00.433	00:01:31.983	Thu, Jul 6, 2017 at 13:58:30.327
84	Split	00:00:00.503	00:01:32.486	Thu, Jul 6, 2017 at 13:58:30.830
85	Split	00:00:00.464	00:01:32.950	Thu, Jul 6, 2017 at 13:58:31.294
86	Split	00:00:00.329	00:01:33.279	Thu, Jul 6, 2017 at 13:58:31.623
87	Split	00:00:00.160	00:01:33.439	Thu, Jul 6, 2017 at 13:58:31.783
88	Split	00:00:01.192	00:01:34.631	Thu, Jul 6, 2017 at 13:58:32.975
89	Split	00:00:00.224	00:01:34.855	Thu, Jul 6, 2017 at 13:58:33.199
90	Split	00:00:00.240	00:01:35.095	Thu, Jul 6, 2017 at 13:58:33.439
91	Split	00:00:00.256	00:01:35.351	Thu, Jul 6, 2017 at 13:58:33.695
92	Split	00:00:00.296	00:01:35.647	Thu, Jul 6, 2017 at 13:58:33.991
93	Split	00:00:00.169	00:01:35.816	Thu, Jul 6, 2017 at 13:58:34.160
94	Split	00:00:00.447	00:01:36.263	Thu, Jul 6, 2017 at 13:58:34.607
95	Split	00:00:00.480	00:01:36.743	Thu, Jul 6, 2017 at 13:58:35.087
96	Split	00:00:00.152	00:01:36.895	Thu, Jul 6, 2017 at 13:58:35.239
97	Split	00:00:00.144	00:01:37.039	Thu, Jul 6, 2017 at 13:58:35.383
98	Split	00:00:00.224	00:01:37.263	Thu, Jul 6, 2017 at 13:58:35.607
99	Split	00:00:01.191	00:01:38.454	Thu, Jul 6, 2017 at 13:58:36.799
100	Split	00:00:00.233	00:01:38.687	Thu, Jul 6, 2017 at 13:58:37.032
101	Split	00:00:00.232	00:01:38.919	Thu, Jul 6, 2017 at 13:58:37.263
102	Split	00:00:00.287	00:01:39.206	Thu, Jul 6, 2017 at 13:58:37.551
103	Split	00:00:00.480	00:01:39.686	Thu, Jul 6, 2017 at 13:58:38.031
104	Split	00:00:00.480	00:01:40.166	Thu, Jul 6, 2017 at 13:58:38.511
105	Split	00:00:00.480	00:01:40.646	Thu, Jul 6, 2017 at 13:58:38.991
106	Split	00:00:00.313	00:01:40.959	Thu, Jul 6, 2017 at 13:58:39.303
107	Split	00:00:00.167	00:01:41.126	Thu, Jul 6, 2017 at 13:58:39.470
108	Split	00:00:01.920	00:01:43.046	Thu, Jul 6, 2017 at 13:58:41.390
109	Split	00:00:00.320	00:01:43.366	Thu, Jul 6, 2017 at 13:58:41.710
110	Split	00:00:00.184	00:01:43.550	Thu, Jul 6, 2017 at 13:58:41.894
111	Split	00:00:00.433	00:01:43.983	Thu, Jul 6, 2017 at 13:58:42.327
112	Split	00:00:00.447	00:01:44.430	Thu, Jul 6, 2017 at 13:58:42.774
113	Split	00:00:00.144	00:01:44.574	Thu, Jul 6, 2017 at 13:58:42.919
114	Split	00:00:00.144	00:01:44.718	Thu, Jul 6, 2017 at 13:58:43.062
115	Split	00:00:00.241	00:01:44.959	Thu, Jul 6, 2017 at 13:58:43.303
116	Pause	00:00:04.039	00:01:48.998	Thu, Jul 6, 2017 at 13:58:47.342
